rank,village_id,state,latitude,longitude,population,growth_score,ntl_2019,ntl_2024,ntl_growth_abs,ntl_growth_pct,ndbi_2020,ndbi_2025,ndbi_delta,built_area_ha_2025,built_growth_pct,ndvi_2019,ndvi_2024,ndvi_trend,road_connected,road_type_label,dist_to_town_km,has_telecom_tower,antyodaya_score,ntl_norm,builtup_norm,ndvi_norm,road_norm,digital_norm,primary_growth_driver
1,HA010125,Haryana,30.13876,76.60799,2134,100.0,9.9835,21.0269,11.0434,109.52,-0.2247,-0.0624,0.1623,115.5,220.08,0.343,0.5771,0.04683,1,Black-Top,13.4,1,36.2,1.0,1.0,0.8788280539079256,0.948633258032267,0.9156521739130433,NTL-Led (Electrification)
2,TE030114,Telangana,16.67325,80.26339,1763,99.98,7.3983,18.9962,11.5979,154.67,-0.1105,0.0492,0.1597,136.3,107.31,0.3116,0.5768,0.05305,1,Black-Top,3.8,1,31.0,1.0,0.8602852942458727,0.9614567627347175,1.0,0.9991304347826083,NTL-Led (Electrification)
3,UT130134,Uttar Pradesh,24.908,82.43959,1914,99.96,7.9399,18.1524,10.2126,127.02,-0.1777,-0.0136,0.164,128.0,201.26,0.2962,0.5603,0.05282,1,Black-Top,11.3,1,16.4,0.9335378072734681,1.0,0.9584013603182928,0.9602321997669165,0.9339130434782607,Construction Boom
4,BI210215,Bihar,24.57249,83.88407,1816,99.94,6.1142,16.3342,10.22,164.46,-0.2195,-0.0854,0.134,98.4,215.24,0.3927,0.6098,0.04341,1,Black-Top,4.4,1,21.9,0.9386841121173555,1.0,0.8333955484115223,0.9983430083236216,0.9939130434782607,Construction Boom
5,BI030204,Bihar,24.41018,84.02348,1079,99.92,9.6289,19.6985,10.0696,103.5,0.0194,0.1908,0.1714,136.1,180.77,0.2259,0.4874,0.0523,1,Black-Top,12.9,1,33.1,0.9178834159165212,1.0,0.9514934939855062,0.9513949108262312,0.9199999999999999,Construction Boom
6,HA230044,Haryana,29.16865,76.70584,3379,99.9,10.9832,22.4755,11.4924,103.69,-0.2956,-0.1846,0.111,68.7,214.32,0.3924,0.6145,0.04441,1,WBM,2.6,1,16.0,1.0,0.9411894192841984,0.846679906743804,0.875725624271614,0.9999999999999999,NTL-Led (Electrification)
7,KA170009,Karnataka,16.01419,76.61384,1791,99.88,6.965,17.2296,10.2646,145.29,-0.1515,-0.0143,0.1372,103.5,239.28,0.505,0.6951,0.03801,1,Black-Top,5.4,1,29.8,0.940393561597949,1.0,0.7616600134172016,0.9928197027356933,0.9852173913043477,Construction Boom
8,KA130026,Karnataka,14.23135,74.22476,1711,99.86,10.0071,20.0624,10.0552,99.49,-0.009,0.1646,0.1737,150.8,195.49,0.2841,0.5493,0.05304,1,WBM,7.4,1,23.2,0.9161105204818162,1.0,0.9613239191513947,0.8492137574495585,0.9678260869565216,Construction Boom
9,UT050241,Uttar Pradesh,30.21413,78.63199,955,99.84,6.9582,18.4589,11.5007,162.94,-0.2103,-0.0839,0.1264,117.9,344.57,0.271,0.4147,0.02875,1,Black-Top,6.6,1,44.3,1.0,1.0,0.6386468552602735,0.9861917360301793,0.974782608695652,NTL-Led (Electrification)
10,GU020282,Gujarat,22.20157,68.63014,594,99.83,9.2507,19.4219,10.1711,108.77,-0.1384,-0.0132,0.1252,110.7,297.25,0.3516,0.5379,0.03727,1,Black-Top,5.0,1,16.8,0.9276271582465564,1.0,0.7518295882513131,0.9950290249708644,0.9886956521739128,Construction Boom
