village_id,state,district_code,latitude,longitude,population,ntl_2019,ntl_2024,ntl_growth_abs,ntl_growth_pct,ndbi_2020,ndbi_2025,ndbi_delta,built_area_ha_2020,built_area_ha_2025,built_growth_pct,ndvi_2019,ndvi_2024,ndvi_trend,road_connected,road_type,dist_to_town_km,antyodaya_score,has_telecom_tower,growth_tier_label,ntl_growth_score_raw,builtup_score_raw,ndvi_score_raw,road_quality_norm,dist_score,road_score_raw,digital_score_raw,ntl_norm,builtup_norm,ndvi_norm,road_norm,digital_norm,composite_score_raw,growth_score
UT070000,Uttar Pradesh,7,24.75984,84.14272,1928,0.9241,0.9242,0.0,0.0,0.0707,0.0779,0.0072,133.6,138.2,3.42,0.2716,0.2022,-0.01386,1,0,37.6,73.4,1,low,0.0,0.0237,-0.17325000000000002,0.2,0.3733333333333333,0.5720000000000001,0.6866666666666666,0.0014245651756973176,0.06782510129096395,0.07260034672175245,0.5498505945838466,0.7052173913043477,0.21653389476694218,43.63106796116505
UT260001,Uttar Pradesh,26,25.47778,80.21934,4526,10.1969,18.3114,8.1145,78.81,-0.2909,-0.1675,0.1235,48.4,136.3,177.59,0.5536,0.775,0.04427,1,1,4.0,28.2,1,high,4.931748,0.6047333333333333,0.553375,0.6,0.9333333333333333,0.8600000000000001,0.9666666666666667,0.7393949833319987,0.8983550209276291,0.8448200965772845,0.8679929964485146,0.9973913043478259,0.8529379098375507,98.52427184466019
UT200002,Uttar Pradesh,20,24.03011,79.53459,1758,3.3133,4.2031,0.8898,26.07,-0.0739,-0.0413,0.0326,48.9,65.2,32.65,0.4095,0.4638,0.01087,0,2,9.9,53.8,0,medium,0.554736,0.13591666666666666,0.135875,1.0,0.835,0.5505,0.4175,0.0844334208362773,0.2282277732235457,0.4011225282790776,0.5261003805557549,0.4243478260869564,0.2851225797950379,59.495145631067956
UT140003,Uttar Pradesh,14,27.67147,77.49939,752,0.7892,1.0099,0.2207,24.82,0.0827,0.0758,-0.0069,142.5,139.8,-1.86,0.6487,0.6277,-0.0042,1,1,37.7,80.6,1,low,0.15227600000000002,-0.017249999999999998,-0.0525,0.6,0.3716666666666666,0.6915,0.6858333333333333,0.024210640902836856,0.009291109765885475,0.2009272482115932,0.681857598135332,0.7043478260869563,0.24765587057740462,52.42718446601942
UT220004,Uttar Pradesh,22,30.25722,84.17751,728,0.5156,0.9534,0.4378,71.12,-0.1961,-0.2053,-0.0092,51.6,45.2,-12.18,0.6087,0.56,-0.00975,1,0,28.3,61.3,0,low,0.319576,-0.023,-0.121875,0.2,0.5283333333333333,0.6185,0.26416666666666666,0.04924485817378202,0.0010720511268329375,0.12719905946743004,0.6012173365515794,0.2643478260869565,0.16395610354973772,24.9126213592233
UT110005,Uttar Pradesh,11,25.67627,78.05911,635,0.5191,0.9594,0.4403,71.13,0.1113,0.1172,0.0059,55.1,57.8,4.75,0.4487,0.4568,0.00161,0,0,40.8,89.7,0,low,0.32108400000000004,0.02266666666666667,0.020125,0.2,0.32000000000000006,0.15600000000000003,0.16000000000000003,0.04947051029359424,0.06634805307177191,0.27810937012214954,0.09031156966821509,0.1556521739130435,0.11003913341153246,8.349514563106796
UT080006,Uttar Pradesh,8,29.95084,82.48365,231,0.7138,1.012,0.2982,36.64,-0.1925,-0.2016,-0.0091,26.6,22.1,-16.35,0.4984,0.4486,-0.00997,0,1,51.9,67.2,1,low,0.208232,-0.02275,-0.124625,0.6,0.135,0.2205,0.5675,0.03258371120536529,0.0014294015024439166,0.12427650063432807,0.16156221175248964,0.5808695652173912,0.1401387053778519,16.62135922330097
UT250007,Uttar Pradesh,25,28.4998,83.45389,200,3.4171,3.8049,0.3877,11.02,-0.2779,-0.2179,0.06,40.3,64.7,59.01,0.2603,0.2892,0.00578,1,1,22.3,49.2,1,medium,0.24143599999999998,0.24835,0.07225000000000001,0.6,0.6283333333333333,0.7685000000000001,0.8141666666666667,0.03755224766839257,0.3889401488149904,0.333505144367764,0.7669165041894274,0.8382608695652173,0.39930308922262664,79.94174757281553
UT130008,Uttar Pradesh,13,27.49961,82.02858,640,3.3402,4.0363,0.696,20.23,0.135,0.1888,0.0537,181.8,216.7,19.09,0.699,0.814,0.02302,1,2,24.2,44.2,1,medium,0.43378399999999995,0.16606666666666664,0.28775,1.0,0.5966666666666667,0.879,0.7983333333333333,0.06633456460582088,0.27132422852222987,0.5625274820162997,0.8889815576826419,0.8217391304347824,0.4287186520323623,84.99029126213593
UT110009,Uttar Pradesh,11,30.17475,82.97622,5244,3.8436,5.165,1.3214,33.51,0.1946,0.2078,0.0132,183.0,187.9,2.63,0.6153,0.6224,0.00141,1,2,21.1,50.6,0,medium,0.8196479999999999,0.037383333333333324,0.017625,1.0,0.6483333333333333,0.8945,0.32416666666666666,0.12407397412785305,0.08738407851607158,0.2754524984556932,0.9061038050052195,0.32695652173913037,0.2853451356473803,59.53398058252427
UT240010,Uttar Pradesh,24,29.59082,80.47648,805,0.4713,0.9045,0.4332,75.84,0.1048,0.1144,0.0097,100.9,105.1,4.13,0.3299,0.3384,0.0017,0,2,41.7,85.5,1,low,0.320592,0.031133333333333332,0.021249999999999998,1.0,0.30499999999999994,0.39149999999999996,0.6525,0.04939688904495523,0.07845031912579709,0.2793049623720549,0.3504592628596362,0.6695652173913041,0.22933106288838512,47.57281553398058
UT270011,Uttar Pradesh,27,28.53356,82.16907,2022,9.2648,11.5573,2.2925,24.48,0.1129,0.2596,0.1467,68.1,164.8,139.78,0.6161,0.7735,0.03148,1,2,14.2,22.0,1,high,1.395084,0.5997166666666667,0.3935,1.0,0.7633333333333333,0.9289999999999999,0.8816666666666666,0.21018030915190322,0.8911841900570354,0.6749131535074024,0.9442146135619245,0.9086956521739128,0.6650236531463157,92.23300970873787
UT170012,Uttar Pradesh,17,24.44094,79.28732,1829,3.2764,3.6748,0.3985,11.8,0.1262,0.17,0.0438,138.2,162.2,17.22,0.3918,0.515,0.02465,1,1,26.8,41.9,1,medium,0.24854,0.1382,0.308125,0.6,0.5533333333333333,0.7460000000000001,0.7766666666666666,0.038615266673131324,0.23149157332079268,0.5841809860979187,0.7420616290437502,0.7991304347826085,0.3882634308207792,77.57281553398059
UT260013,Uttar Pradesh,26,26.87494,79.37084,808,0.6966,0.7245,0.0279,3.5,-0.1157,-0.0998,0.0159,44.9,55.8,23.77,0.5883,0.6039,0.00313,1,2,36.7,85.9,0,low,0.019540000000000002,0.07936666666666667,0.039125,1.0,0.3883333333333333,0.8165,0.19416666666666665,0.004348465985465808,0.14739511826034213,0.2983015947872177,0.8199402378335386,0.19130434782608693,0.23458524642775178,48.932038834951456
UT080014,Uttar Pradesh,8,26.01735,80.45967,1387,0.8316,0.969,0.1373,14.74,0.0285,0.0412,0.0127,125.8,133.7,6.26,0.273,0.1884,-0.01692,1,1,39.0,92.1,1,low,0.09417199999999999,0.04218333333333332,-0.21150000000000002,0.6,0.35,0.685,0.675,0.0155161510025918,0.09424520572780237,0.03195021022497058,0.6746773008710253,0.6930434782608695,0.23816679513625794,49.728155339805824
UT090015,Uttar Pradesh,9,27.86605,81.68619,534,1.177,1.5055,0.3285,25.72,0.1074,0.0998,-0.0076,157.3,153.6,-2.29,0.5218,0.5007,-0.00421,0,2,30.2,84.6,1,low,0.217676,-0.019,-0.052625,1.0,0.4966666666666667,0.44899999999999995,0.7483333333333333,0.03399688005119199,0.006789657136608614,0.20079440462827036,0.4139772771208112,0.7695652173913041,0.21954701317056757,44.62135922330097
UT290016,Uttar Pradesh,29,25.29703,82.16973,454,0.5438,0.9481,0.4043,62.79,-0.092,-0.0767,0.0154,101.1,108.8,7.57,0.4717,0.4487,-0.00458,0,1,27.8,76.0,0,low,0.29281199999999996,0.051116666666666664,-0.057249999999999995,0.6,0.5366666666666666,0.34099999999999997,0.2683333333333333,0.045239981957167684,0.1070145258163014,0.19587919204532617,0.2946738764215608,0.268695652173913,0.15421293413734563,21.0873786407767
UT220017,Uttar Pradesh,22,24.44936,80.32246,1845,0.788,0.9969,0.2089,23.52,-0.2182,-0.2165,0.0017,62.8,63.5,1.12,0.5867,0.5064,-0.01607,0,1,34.4,86.8,1,low,0.144156,0.006116666666666666,-0.200875,0.6,0.42666666666666664,0.30799999999999994,0.7133333333333334,0.02299559102692487,0.04269145820632504,0.04324191480741002,0.25822005954123417,0.7330434782608695,0.17274735975108574,28.349514563106798
UT290018,Uttar Pradesh,29,29.64376,78.56439,370,1.6561,1.6299,-0.0262,-1.49,0.02,0.0167,-0.0033,51.1,49.3,-3.39,0.5441,0.5037,-0.00808,0,1,30.4,61.0,0,low,-0.001192,-0.008249999999999999,-0.101,0.6,0.4933333333333334,0.328,0.2466666666666667,0.0012461982481003862,0.022155723287880742,0.1493839378823404,0.28031328189294735,0.24608695652173912,0.10728041674095433,7.786407766990291
UT230019,Uttar Pradesh,23,25.65949,82.02841,347,0.9783,1.1766,0.1983,18.39,-0.0147,-0.0238,-0.0091,110.3,107.0,-2.92,0.5294,0.4885,-0.00818,1,2,50.2,94.5,1,low,0.133692,-0.02275,-0.10225,1.0,0.16333333333333333,0.749,0.5816666666666667,0.02142979276318805,0.0014294015024439166,0.14805550204911222,0.7453756123965071,0.5956521739130434,0.2301487814583668,47.80582524271845
UT220020,Uttar Pradesh,22,29.31592,77.91359,1376,2.843,4.1797,1.3367,45.42,-0.1098,-0.07,0.0398,68.3,78.5,14.79,0.4935,0.5899,0.01928,1,2,11.3,49.1,1,medium,0.838356,0.12415000000000001,0.24099999999999996,1.0,0.8116666666666666,0.9435,0.9058333333333333,0.1268733772163458,0.21140848221145564,0.5128439818535662,0.9602321997669165,0.9339130434782607,0.45196251748257915,87.57281553398059
UT040021,Uttar Pradesh,4,24.46332,84.25542,2854,0.6468,1.1074,0.4607,61.69,-0.0571,-0.0594,-0.0023,113.3,112.1,-1.04,0.3557,0.3472,-0.00169,0,1,46.9,66.5,0,low,0.325772,-0.00575,-0.021125,0.6,0.21833333333333338,0.2455,0.10916666666666669,0.050172007069243914,0.02572922704399054,0.23427098762562013,0.18917873969213095,0.10260869565217394,0.10039267232725956,6.5631067961165055
UT220022,Uttar Pradesh,22,27.91048,83.22584,1196,1.0017,1.2896,0.288,26.14,0.1529,0.166,0.0131,93.3,101.4,8.55,0.6256,0.6263,0.00014,0,0,39.1,65.4,1,low,0.193712,0.047,0.0017499999999999998,0.2,0.3483333333333333,0.16449999999999998,0.6741666666666666,0.03041098655040938,0.10113015629790727,0.2585813633736955,0.09970118916769306,0.6921739130434781,0.19197430487732964,35.20388349514563
UT240023,Uttar Pradesh,24,28.70936,77.12024,200,0.4215,0.7561,0.3346,64.16,-0.2603,-0.2677,-0.0074,35.4,32.7,-7.41,0.3775,0.2879,-0.01792,1,2,29.6,99.7,0,low,0.252088,-0.0185,-0.22399999999999998,1.0,0.5066666666666666,0.8519999999999999,0.2533333333333333,0.0391461776287638,0.007504357887830573,0.01866585189268899,0.8591557075078291,0.25304347826086954,0.18324969840979494,32.038834951456316
UT250024,Uttar Pradesh,25,25.13947,82.24404,200,0.5592,0.7128,0.1536,23.3,-0.1496,-0.1301,0.0194,35.7,50.1,39.01,0.21,0.2206,0.00212,1,1,37.8,60.3,1,low,0.1108,0.11351666666666667,0.0265,0.6,0.37,0.6910000000000001,0.685,0.018004309787895304,0.19620917956880196,0.2848843928716132,0.6813052675765392,0.7034782608695651,0.3049037760262267,62.79611650485437
UT220025,Uttar Pradesh,22,29.67669,78.22941,1104,3.9499,4.6044,0.6545,16.16,-0.2418,-0.2128,0.029,69.8,88.7,26.78,0.595,0.6072,0.00243,1,2,27.0,54.3,0,medium,0.405628,0.11713333333333334,0.030375,1.0,0.55,0.865,0.275,0.062121394124764515,0.20137884833597414,0.2890025439546205,0.8735163020364427,0.2756521739130435,0.28470678330703886,59.39805825242719
UT250026,Uttar Pradesh,25,24.44312,77.19617,1407,0.4448,0.8108,0.366,67.19,0.1682,0.1845,0.0163,50.2,54.4,8.24,0.5013,0.456,-0.00906,0,1,34.4,90.2,0,low,0.273352,0.05448333333333333,-0.11325,0.6,0.42666666666666664,0.30799999999999994,0.21333333333333332,0.042328052082137246,0.1118268442078626,0.13636526671670435,0.25822005954123417,0.21130434782608692,0.13153857778921063,14.058252427184467
UT180027,Uttar Pradesh,18,28.2622,83.44492,1097,1.0423,1.2121,0.1699,14.87,-0.0929,-0.0781,0.0148,31.5,38.3,20.87,0.4407,0.3436,-0.01942,0,0,51.1,59.9,0,low,0.11383599999999999,0.07178333333333334,-0.24275,0.2,0.14833333333333332,0.10449999999999998,0.07416666666666666,0.018458606761204265,0.1365554902001424,0.0,0.033421522112553906,0.06608695652173913,0.05460272637354083,1.029126213592233
UT060028,Uttar Pradesh,6,26.44327,79.99802,602,1.4063,1.3862,-0.0201,-1.34,0.1714,0.1857,0.0143,190.9,196.3,2.8,0.5906,0.6144,0.00475,1,0,59.5,56.7,0,low,-0.001072,0.04041666666666666,0.059375,0.2,0.008333333333333304,0.4625,0.004166666666666652,0.00126415465020746,0.09171992974015147,0.31982225528551395,0.42889020220821766,0.0,0.13561609745415987,15.203883495145632
UT190029,Uttar Pradesh,19,30.30987,84.1616,430,0.4629,0.422,-0.041,-7.28,-0.1675,-0.1768,-0.0094,47.0,41.1,-12.38,0.5123,0.4696,-0.00854,1,1,50.9,82.1,0,low,-0.005824000000000001,-0.0235,-0.10675000000000001,0.6,0.15166666666666673,0.6255000000000001,0.07583333333333336,0.0005530811267673439,0.00035735037561097915,0.1432731330494908,0.608949964374679,0.06782608695652179,0.12326263958903667,11.922330097087379
UT270030,Uttar Pradesh,27,25.46,79.82847,1327,2.7228,3.4882,0.7654,27.12,0.038,0.0486,0.0106,121.6,126.0,3.54,0.6396,0.7212,0.01632,1,0,24.6,59.1,1,medium,0.480936,0.0324,0.20400000000000001,0.2,0.59,0.637,0.7949999999999999,0.07339023354042702,0.08026089436222605,0.4735222811900126,0.6216535672269139,0.8182608695652172,0.32909780135000616,66.50485436893204
UT030031,Uttar Pradesh,3,28.9282,82.65002,1021,0.689,1.0023,0.3133,39.71,0.0806,0.0754,-0.0052,75.8,72.6,-4.15,0.6959,0.6108,-0.01702,0,1,50.3,89.2,0,low,0.219748,-0.013,-0.21275,0.6,0.16166666666666674,0.2285,0.08083333333333337,0.034306927260907456,0.015366066151272128,0.030621774391742462,0.1703995006931749,0.07304347826086961,0.055243307717958316,1.087378640776699
UT290032,Uttar Pradesh,29,30.47617,79.79915,1035,0.9978,1.0281,0.0303,2.76,-0.2991,-0.3037,-0.0046,23.3,21.2,-8.5,0.4012,0.4323,0.00623,0,0,42.1,83.6,0,low,0.020387999999999996,-0.0115,0.077875,0.2,0.29833333333333334,0.1495,0.14916666666666667,0.004475357893689127,0.017510168404938006,0.3394831056172908,0.08313127240390829,0.14434782608695654,0.09076448008556458,4.796116504854369
UT280033,Uttar Pradesh,28,26.41424,77.47532,1313,11.0528,17.2653,6.2125,55.7,0.0181,0.1214,0.1033,136.8,182.4,33.14,0.4859,0.6584,0.03449,0,2,6.1,39.5,1,high,3.77206,0.31348333333333334,0.431125,1.0,0.8983333333333333,0.5694999999999999,0.9491666666666667,0.5658631162757655,0.48204183334083767,0.7148990720875701,0.5470889417898822,0.9791304347826085,0.6264371605169481,91.126213592233
UT180034,Uttar Pradesh,18,24.52391,82.53234,1651,10.4196,14.6718,4.2522,40.42,-0.2343,-0.123,0.1114,20.7,64.3,200.61,0.2223,0.3774,0.03102,1,2,2.7,22.1,1,high,2.583656,0.61285,0.38775,1.0,0.955,0.9864999999999999,0.9775,0.3880342821953093,0.9099569964557989,0.6688023486745528,1.0,0.9999999999999999,0.7442198860737255,94.64077669902913
UT260035,Uttar Pradesh,26,29.73388,79.9902,451,2.4686,4.4368,1.9682,76.63,0.0271,0.0654,0.0383,154.8,176.0,13.61,0.3748,0.3974,0.00454,1,0,9.5,33.3,1,medium,1.242224,0.11843333333333333,0.056749999999999995,0.2,0.8416666666666667,0.7125,0.9208333333333334,0.18730684560117594,0.20323707028915122,0.3170325400357348,0.7050554816046307,0.9495652173913042,0.40274930710739104,80.60194174757281
UT290036,Uttar Pradesh,29,27.00492,80.12942,439,0.6778,1.05,0.3722,47.85,0.189,0.2029,0.0138,186.9,194.1,3.84,0.5792,0.5923,0.00262,1,2,40.1,70.5,0,low,0.2616,0.04089999999999999,0.03275,1.0,0.33166666666666667,0.7995,0.16583333333333333,0.040569521769117836,0.09241080713299935,0.291526572037754,0.8011609988345825,0.1617391304347826,0.22343756351005306,45.689320388349515
UT280037,Uttar Pradesh,28,25.2137,77.71467,290,0.8464,1.1271,0.2807,29.67,0.1575,0.1635,0.006,166.7,169.1,1.46,0.6286,0.6645,0.00718,0,2,34.8,94.7,1,low,0.192156,0.017433333333333332,0.08975,1.0,0.42000000000000004,0.426,0.71,0.030178151869754324,0.058867518542315395,0.35210324603295834,0.38857007141634126,0.7295652173913042,0.2443061054225957,51.398058252427184
UT270038,Uttar Pradesh,27,25.07871,83.70265,264,1.9972,3.1937,1.1966,57.06,0.1451,0.1917,0.0466,173.0,203.7,17.66,0.4704,0.5175,0.00943,1,2,23.7,39.6,1,medium,0.7636080000000001,0.14593333333333333,0.117875,1.0,0.605,0.8815,0.8025,0.11568833434384969,0.242545611606359,0.38199305228059205,0.891743210476606,0.8260869565217389,0.41031638609658516,81.90291262135922
