village_id,state,district_code,latitude,longitude,population,ntl_2019,ntl_2024,ntl_growth_abs,ntl_growth_pct,ndbi_2020,ndbi_2025,ndbi_delta,built_area_ha_2020,built_area_ha_2025,built_growth_pct,ndvi_2019,ndvi_2024,ndvi_trend,road_connected,road_type,dist_to_town_km,antyodaya_score,has_telecom_tower,growth_tier_label
UT070000,Uttar Pradesh,7,24.75984,84.14272,1928,0.9241,0.9242,0.0,0.0,0.0707,0.0779,0.0072,133.6,138.2,3.42,0.2716,0.2022,-0.01386,1,0,37.6,73.4,1,low
UT260001,Uttar Pradesh,26,25.47778,80.21934,4526,10.1969,18.3114,8.1145,78.81,-0.2909,-0.1675,0.1235,48.4,136.3,177.59,0.5536,0.775,0.04427,1,1,4.0,28.2,1,high
UT200002,Uttar Pradesh,20,24.03011,79.53459,1758,3.3133,4.2031,0.8898,26.07,-0.0739,-0.0413,0.0326,48.9,65.2,32.65,0.4095,0.4638,0.01087,0,2,9.9,53.8,0,medium
UT140003,Uttar Pradesh,14,27.67147,77.49939,752,0.7892,1.0099,0.2207,24.82,0.0827,0.0758,-0.0069,142.5,139.8,-1.86,0.6487,0.6277,-0.0042,1,1,37.7,80.6,1,low
UT220004,Uttar Pradesh,22,30.25722,84.17751,728,0.5156,0.9534,0.4378,71.12,-0.1961,-0.2053,-0.0092,51.6,45.2,-12.18,0.6087,0.56,-0.00975,1,0,28.3,61.3,0,low
UT110005,Uttar Pradesh,11,25.67627,78.05911,635,0.5191,0.9594,0.4403,71.13,0.1113,0.1172,0.0059,55.1,57.8,4.75,0.4487,0.4568,0.00161,0,0,40.8,89.7,0,low
UT080006,Uttar Pradesh,8,29.95084,82.48365,231,0.7138,1.012,0.2982,36.64,-0.1925,-0.2016,-0.0091,26.6,22.1,-16.35,0.4984,0.4486,-0.00997,0,1,51.9,67.2,1,low
UT250007,Uttar Pradesh,25,28.4998,83.45389,200,3.4171,3.8049,0.3877,11.02,-0.2779,-0.2179,0.06,40.3,64.7,59.01,0.2603,0.2892,0.00578,1,1,22.3,49.2,1,medium
UT130008,Uttar Pradesh,13,27.49961,82.02858,640,3.3402,4.0363,0.696,20.23,0.135,0.1888,0.0537,181.8,216.7,19.09,0.699,0.814,0.02302,1,2,24.2,44.2,1,medium
UT110009,Uttar Pradesh,11,30.17475,82.97622,5244,3.8436,5.165,1.3214,33.51,0.1946,0.2078,0.0132,183.0,187.9,2.63,0.6153,0.6224,0.00141,1,2,21.1,50.6,0,medium
